店铺名称,用户名,评论
江南道自助烤肉海鲜涮锅（柳浪湾店）,TYM553294467,就在财大后街，吃完还可以逛一逛街，肉耶比较新鲜，服务热情，每次去人都特别多，生意很好，环境也还不错，值得推荐「#套餐：江南道单人自助」「#五花肉」「#炸鸡翅」「#烤肉」「#肥牛」「#扇贝」「#水果蔬菜」「#皮皮虾」「#麻辣牛肉」「#圣女果」「#冰激凌」
江南道自助烤肉海鲜涮锅（柳浪湾店）,嬲嫐12,很少见到你呢科技兴农的角度讲课教学班四年浙江奶奶带着恐惧觉得那些人互相你说呢就是呢今晚开始看可靠开始进行渐入佳境的亟待解决夏季女鞋蝴蝶结小看小小年纪的精神就想你想不大喊大叫独具匠心女大当嫁见到你就说你想不到的家
江南道自助烤肉海鲜涮锅（柳浪湾店）,mCh131533232,很满意的一次就餐体验，整体评价的话我觉得：性价比。我真的觉得不错
江南道自助烤肉海鲜涮锅（柳浪湾店）,长腿FENG,特别好！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！
江南道自助烤肉海鲜涮锅（柳浪湾店）,KTN704613037,这家自助性价比真的差，肉全是劣质肉，基围虾是拿的那种死虾的货，肉质松散，腐烂。看起都没食欲，饮料全是几毛钱的盒装果味饮料，也就是地理位置好，不然估计没啥生意。
江南道自助烤肉海鲜涮锅（柳浪湾店）,许你心安V,还不错  在这家店吃了两次了  人超级多
江南道自助烤肉海鲜涮锅（柳浪湾店）,一对仙女猪,菜品都很新鲜也很多很丰富，味道也好，跟男朋友两个人来过好多好多次了，每次来生意都很好，是我吃过的自助烤肉里面名列前茅的。 不止烤肉还有泡椒鱼皮，还有辣白菜，炸鸡腿，小蛋糕，寿司等等很多好吃的!下次继续再来!
江南道自助烤肉海鲜涮锅（柳浪湾店）,Uxu166461360,在学校周边就是真的很多人，不管哪天，真的很好吃，非常实惠
江南道自助烤肉海鲜涮锅（柳浪湾店）,fxl四级考研必过,味道值得推荐，都是在学校附近去过五六次了😂😂😂脑花挺好吃的
江南道自助烤肉海鲜涮锅（柳浪湾店）,南有嘉木wjm,非常好非常好👍？不要把所有东西当成你青春永驻身旁走过路过千万不能再基地颜色了，穿过一片厚厚的衣服就很好看吧……你们是不是都要被别人说对不起的应急拿着手机屏幕了词是怎么回事……哦，饿了就可以？？？？？？？
