店铺名称,用户名,评论
烤匠麻辣烤鱼（温江店）,匿名用户,跟成都烤匠完全不一样！不推荐去这家！服务也不行！味道也不行！
烤匠麻辣烤鱼（温江店）,匿名用户,菜品不错，味道很好，食材比较新鲜，就是需要等，等了四十分钟
烤匠麻辣烤鱼（温江店）,匿名用户,味道好吃
烤匠麻辣烤鱼（温江店）,匿名用户,不会再来，环境嘈杂，菜品不全。江团没有，气泡水都没有，点了百香果，等二十分钟也不见上。服务意识较差，温江店差远了
烤匠麻辣烤鱼（温江店）,匿名用户,包浆豆腐算是招牌菜了。但是，越来越没有以前的口感，虽然味道还可以，但完全没有包浆的感觉，干瘪瘪的，有点像吃烧烤豆干
烤匠麻辣烤鱼（温江店）,sxh81802606,味道不错，很特别。份量也不错。 烧烤不好吃。
烤匠麻辣烤鱼（温江店）,dwG2627397,能不能给负星！按道理现在大环境来说不应该差评！不在道德绑架范围内来了差评！本次评价只针对合生汇管理和烤匠店店长管理问题！正题：前几天我和朋友在伊藤店吃过感觉服务和味道确实不错，看着温江这边也有个店，带家人过来吃！一、11号晚上7点到店，被服务员告知没有江团鱼、没有黑豆腐，我们只好改天来！这么大个店啥情况？二、12号提前到店，下午5点50点好的菜，等到6点半菜才上完，基本上6点15过了才开始上菜！伊藤店我之前吃过的菜点好服务员放一个计时器15分钟，哪个菜较慢会当面说清楚！温江合生汇店的做法呢，两边比我来的慢的人都吃一半了，我的菜迟迟不上，真心觉得有点遗憾！三、烤鱼里面我点了加面，上来的面却没有，重新加了一份，没有入味！四、点了手撕烤鸡，由于之前伊藤店吃的味道挺好的，肉挺多也挺肥；于是这边也点了，没想到上来的菜不想描述，像是吃过的一样，要不就是把肉取下来分了一部分到别人的盘子里，还没吃呢，就没啥肉，有这样做生意的吗？偷工减料也不是这样的啊！这一次真的体验太差了！只针对管理层提出差评，不针对服务员个人！不要打个大牌子这样子，这就是品牌昙花一现而不是百年老店的原因！
烤匠麻辣烤鱼（温江店）,唯爱Eason1874,今天麻辣烤鱼很好吃哦，正宗地道的四川味，很好吃的，和朋友们聚会过来吃，带第一次吃的朋友吃，都特别特别喜欢呢，以后呢，还会来珠江广场的这家店，温江就这一家，所以要早一点过来排队哦，生意真的超级火爆的，很喜欢！
烤匠麻辣烤鱼（温江店）,IJX581172167,呜呜呜木有图 用taytay代替吧 很好吃 but等太久了
烤匠麻辣烤鱼（温江店）,nAP311081728,以前也吃过很多次烤匠了，第一次在这里吃，鱼和以前吃的相比小很多，以前都是吃不完，这是不够吃，芝士烤红薯看起外观就不正宗口感也不好，吃到后面发现红薯都是黑的和服务员反馈了她说的就是这样的，在这里吃的感觉就是服务差，鱼也小，味道差，差差差！！！
烤匠麻辣烤鱼（温江店）,Grw302981938,店内环境一般，比较昏暗。上菜速度慢，口味一般
烤匠麻辣烤鱼（温江店）,rji173418769,量很足哈 喜欢～
烤匠麻辣烤鱼（温江店）,蓝迦SUN,口味有点闲了，不过整体很好吃。
烤匠麻辣烤鱼（温江店）,FODA86,味道一如既往的好 麻辣 烤肉串也很好吃
烤匠麻辣烤鱼（温江店）,liang_124,味道不错，就是有点辣，总体不错。
烤匠麻辣烤鱼（温江店）,匿名用户,小贵，味道不错。挺有特色。生意也真的好。烧烤不咋的，应该是油炸的，都炸硬了。菜品不算很多，下次再去试其他的。
