店铺名称,用户名,评论
屋头串串（临江路店）,ASr900685347,味道可以，菜品丰富，只是结账时，称签签的话，肉眼看也就不到40根，居然称出了116根，让我绝对不会再去第二次
屋头串串（临江路店）,匿名用户,数的时候是80个，结果他们称斤就多了，而且点心太少了。
屋头串串（临江路店）,匿名用户,味道一般，消费提示不清晰。不排除乱收费，收银员不够专业。
屋头串串（临江路店）,卤味草堂,以前经常来，感觉服务态度好，价格合适，现在两个人居然吃了170多，确实贵了，服务态度也跟不上了，居然茶水都不倒了，喊买单至少等了8分钟以上答应了都没来算账，现在服务员就是无头苍蝇，收银员也是磨磨唧唧的，算账也不利索，希望加强培训，让客户有个更好的体验。
屋头串串（临江路店）,Jwo675855263,一般！！两个人吃390的样子！价格比其他地方贵点！
屋头串串（临江路店）,Silvia677777,很温馨的一家店，味道也很不错，会再光顾的！
屋头串串（临江路店）,刘小锐不吃糖,环境可以，味道也不错，价格还行，个别服务员素质不咋地，有待改进
屋头串串（临江路店）,匿名用户,菜品觉得香菜毛肚的毛肚有点不新鲜 服务很好 卫生环境很好
屋头串串（临江路店）,sensual999,此次用餐总体来说不错，觉得比较认可的地方有：口味、团购接待、环境、性价比、服务。
屋头串串（临江路店）,可可西里快乐,去的时候人超级多，味道也不错👍一如既往的好
屋头串串（临江路店）,帽子的奇遇,这家味道还是很不错的，环境不错，菜品很好，味道比其他串串好多了(✪▽✪)
屋头串串（临江路店）,丽2527,味道不错，人超级多，每次去都要排队的，建议提前预订
屋头串串（临江路店）,bny209529549,此次用餐总体来说不错，觉得比较认可的地方有：口味、性价比、环境、服务、团购接待。
屋头串串（临江路店）,sunyu0918,去晚了得排队，味道确实不错，店内服务员氛围也很好
屋头串串（临江路店）,A菲菲8,菜品新鲜，味道不错
屋头串串（临江路店）,Vec117235732,棒 无限回头的一家店
屋头串串（临江路店）,iGP920025479,菜品不错，味道很好，新装修的环境也很不错有格调，唯一不足有点小贵
屋头串串（临江路店）,爱吃外卖的喵,太坑人了，点个40的红锅竟然不包括锅底，锅底还单独算了60多，第一次听说这是两样东西，光这就100多了，还没算菜，简直不要太坑，饮料是外面的两倍还多，吃了150根就接近300，快赶上自助了
屋头串串（临江路店）,uhS361076064,还不错，小吃水果都新鲜。环境也不错
屋头串串（临江路店）,匿名用户,装修后第一次去，菜品多，环境好，适合聚会
屋头串串（临江路店）,Kqz964985322,此次用餐总体来说不错，觉得比较认可的地方有：配菜合理、口味好、份量充足、服务到位、菜品丰富、环境优美。
屋头串串（临江路店）,tOS923413857,此次用餐总体来说不错，觉得比较认可的地方有：环境优美、份量充足、菜品丰富、口味好、服务到位、配菜合理。
屋头串串（临江路店）,hDc336371695,味道很好，服务也很周到，停车也方便，餐后可以领取停车票！
