,Unnamed: 0,店铺名称,用户名,评论
61468,15,韩婆婆小院烧烤,nuU207888038,我觉得七十多一个人的价位自助餐，这家一般般，大热天不建议来，烤肉的时候简直就跟蒸桑拿一样，冷风机也就那么几个，不可能每桌都照顾到，吃到最后本来想来个冰淇淋的，但是问服务员，跟我们说没有了，才晚上八点左右，每桌都有人，还有排队的，毕竟是七十多一个人连冰淇淋都限量嘛？
61469,16,韩婆婆小院烧烤,TvL71884528,已经吃了很多次了！菜品新鲜，味道也不错！
61470,17,韩婆婆小院烧烤,匿名用户,吃了很多次，但是今天的五花肉里面吃到好多钢丝球刷，也跟服务员反应了，体验不是很好，抽烟机也抽不上，比较热
61471,18,韩婆婆小院烧烤,fxp424,安逸 巴适 巴适 安逸 安逸巴适 巴适 安逸 安逸巴适 巴适 安逸  还不够字呐 继续。。安逸 巴适 巴适 安逸 巴适 安逸 安逸 巴适  哦对了 建议老板多配两个风扇  好热哦。。除开热 其余真的巴适  巴适 安逸 安逸 巴适 巴适 安逸 安逸 巴适 巴适 安逸 安逸 安逸 安逸 巴适 巴适 巴适 港火
61472,19,韩婆婆小院烧烤,豌豆0802,真的很少评价，因为觉得大部分都是一般，但是这家烤肉店真的强烈推荐，菜品真的新鲜，而且奶茶很好喝，环境也好，肉的种类也很多，真的推荐强烈推荐，特别是那个五花肉个那个牛肉坨坨简直一绝，之前抱着试试看的心态，结果真的出乎意料的好，以后会常去，开心?
61473,20,韩婆婆小院烧烤,tTV612094802,"环境就是一个大院子，作为60+价位的烤肉而言它的性价比还是极高的
五花肉系列都值得推荐
烤肉的火力很足
烤得时候需要注意不要让肉焦了

最后希望水果的品种可以再多一点，天气热起来了，吃烤肉的时候水果可以说是解腻解热的必备"
61474,21,韩婆婆小院烧烤,twT711480179,首先在意服务的小伙伴就不要去了，服务确实一般，其次最在意的，虽然是中午去的，西瓜是怎么做到那么浓一股子冰箱味道的，而且切的七零八碎的，感觉全是边角料，骰子牛肉好吃，牛肉五花肉也不错，就是吃到后面感觉非常咸，非常咸。
61475,22,韩婆婆小院烧烤,ByO633547992,第一次来，觉得有点小贵，环境还可以，觉得菜的品类不算多，味道也一般吧，可能是自己烤不好吧，害怕没熟就会烤糊，习惯了好评。
61476,23,韩婆婆小院烧烤,要好好吃饭可以吗,上次去生意挺好的，菜品都很新鲜，勤拿少取嘛，啤酒饮料全部包含在套餐里面的，过去只需要吃吃吃就完事了，生蚝和扇贝我觉得对于烧烤烤肉来说确实是很棒的，美中不足的是汤锅需要热很久才会开，要是旁边有个小炉子更好啦
61477,24,韩婆婆小院烧烤,凰胖,"菜品    品类不多   卖相不好看

整体服务  首先大妈居多（不是攻击大妈阿姨，她们的这个阶段如果没有系统的服务培训很难展现出来服务意识）服务意识不强，言行举止有些不堪入目（例如两个阿姨在我和女伴面前扯**，还声音老大了）

最后，综合评价： 地方烤肉餐饮，可吃。"
61478,25,韩婆婆小院烧烤,frw792661453,味道可以，菜品新鲜，经常去，今晚上带着娃娃去的，老板人也很好，专门安排了一个适合娃娃坐的地方，还会再去，五花肉，鸡翅，生蚝新鲜，奶茶可以，很多甜品?小吃，价格实惠，还有烫菜，烤茄子，豆腐，鱿鱼，牛肉
61479,26,韩婆婆小院烧烤,xfw565809106,已经是老顾客了，真的好划算，而且菜品新鲜，夏天的傍晚，在这个偌大的小院里，店面装修虽然简单，但有自己的风格，海鲜烤肉，勇闯都在免费喝，是一种什么体验呢！边吃肉边吃蒜，香味果然多一半，哈哈哈，强烈推荐哦！
61480,27,韩婆婆小院烧烤,hda730329778,「#套餐：特色烤肉自助1位」「#五花肉」「#秘制脑花」「#牛肉」「#扇贝四」「#掌中宝」「#天味小香肠」「#香脆鸡脚筋」「#鸡皮」「#烤馒头」「#自助酒水」「#阿萨姆奶茶」「#猪肉」「#扇贝四」「#特色鲫鱼」「#特色鲫鱼」「#夺命烤大茄」「#包浆豆腐」「#烤香蕉」「#蒸饺」「#芝士年糕」「#蒜香排骨」靠近国色天香，院大，味道不错
61481,28,韩婆婆小院烧烤,年少无人可撩,这家店吗就是在温江，然后从国色天香出来之后就可以看到几家店，他是那种自助餐的形式，整体来说还是很不错的菜品也很多，你可以自己去拿它还原了西昌的那种火盆烧烤的感觉，但是他的酱料有一点难吃，其他都还不错。?
61482,29,韩婆婆小院烧烤,kkL594626027,菜的品质确实有所下降，主要体现在小香猪喝生蚝上。小香猪之前吃起来还有股肉香味，现在吃就感觉很一般了。生蚝个头没有之前的大，估计这也是从限量供应到现在随便拿的原因
61483,30,韩婆婆小院烧烤,nuU207888038,服务一般，菜品相较于七十多一个人的自助餐，都不够打，环境一般，不建议大热天来吃，衣服都要给你打湿完
61484,31,韩婆婆小院烧烤,我爱甜食126,超喜欢芝士玉米
61485,32,韩婆婆小院烧烤,ADi419355104,多次去吃了，味道很不错多次去吃了，味道很不错多次去吃了，味道很不错多次去吃了，味道很不错
61486,33,韩婆婆小院烧烤,TDW705683417,家离得近，已经是第n次来这里了，真的巨好吃~菜品特别丰富，非常新鲜
61487,34,韩婆婆小院烧烤,匿名用户,味道还可以
61488,35,韩婆婆小院烧烤,tLj542330041,五花肉是烤肉的比吃菜。有三种，不喜欢吃辣的就吃蒜香的，喜欢辣的就是香辣，还有一种忘了。鸡腿鸡翅真的很棒，要提前放上去啊。鱿鱼真的好好吃，好大，巴适。还有鱼也很不错。还有牛肉妈呀，嫩的呀，一定要去尝尝。
61489,36,韩婆婆小院烧烤,tLl423769084,味道还可以
61490,37,韩婆婆小院烧烤,obP917756296,上次是冬天吃，很满意。这次天气比较热吧 没多少胃口，吃不下很多。烤的时候油烟很热，菜品还可以。但是回来拉了好几次肚子...
61491,38,韩婆婆小院烧烤,xiao淼淼妹儿,菜品品种很多
61492,39,韩婆婆小院烧烤,clevestar,很满意的一次就餐体验，整体评价的话我觉得：口味、环境、性价比。很好，非常满意，经常都来，一如既往的喜欢?
61493,40,韩婆婆小院烧烤,yyjf999,很好，还会再买，不错，好吃，新鲜
61494,41,韩婆婆小院烧烤,罗圆志,自助形式的烤肉 吃多少全凭自己去拿 味道挺不错的 五花肉吃起来很新鲜
61495,42,韩婆婆小院烧烤,OOC516631689,还可以哇
61496,43,韩婆婆小院烧烤,露8110,满怀期待去，还特意避开晚上的高峰中午去的，但是，体验超级超级超级不好，服务员态度都不能用不好描述，简直就是极度恶劣，我和朋友去的时候十二点半吧，明明就不忙，我们问能给我们拿个架子吗，她也不太理我们，就说你自己随便拖一个过去嘛，然后就是我们自己去拖的，吃到一点半左右，我们就坐那里聊会儿天，服务员来问我们烤不烤，我们说我们等会儿还想烤一点素菜，结果她说现在不烤就直接把我们火关了，这我都觉得没什么，但是后面我们叫她帮我们打开一下火，她就特别不耐烦，语气特别恶劣的说你们还要烤什么嘛，摆脸色，让她把网给我们刷一下也不愿意，还说什么别人人多都没刷，就我们要刷一类的话，结果就没给我们刷。真的超级影响心情，我们也没烤几盘来吃，后面也没心情吃了，明明是出了钱来吃自助，结果搞得像我 们还要受气一样，这态度，是我遇到过最差的
61497,44,韩婆婆小院烧烤,piH261734075,菜种类很多，五花肉真的太绝了！太好吃啦
61498,45,韩婆婆小院烧烤,幸运ZP,说不清楚来过几次了，每次和朋友聚餐基本都会选择韩婆婆，味道好。菜品也很丰富，食材很新鲜，和其它烤肉相比，韩婆婆的看着菜品质量好些，环境也很好，反正百吃不厌，最喜欢泡椒鲫鱼，脑花，必点，小吃也很好，烧仙草，布丁，都很好吃！
61499,46,韩婆婆小院烧烤,ljsh珊珊h,味道很鲜美，服务非常不错，热心的服务员不会让你浪费，会很正确的为你推荐适合的分量，菜品也很丰盛，味道很清淡，兔肉味道很嫩，适合一大家老小都吃，饮料都是鲜榨的，很香美，鸭头也是很美味的，卤菜的味道也是很不错的
61500,47,韩婆婆小院烧烤,jAM621998457,提前预定，到店没问我们任何信息，服务员态度很差，最基础的问下有没纸巾，直接说一桌只有一盒，领班来时候竟然说我们服务员不可能这么说，12个人，给我两张小桌子，还说坐得下，果然有名气了，服务态度等等都变的特别差！总之不建议去消费！菜品还不怎么新鲜！出来聚餐，搞得很不愉快！
61501,48,韩婆婆小院烧烤,OOC516631689,看起来菜品比较少，不过可能是放得比较集中，好吃的，可以来试试
61502,49,韩婆婆小院烧烤,sTz151664517,环境不错，品种很多，特别是牛肉和五花肉，味道好好。
61503,50,韩婆婆小院烧烤,浮生4781,就一般吧，第一次去吃，，，，，
61504,51,韩婆婆小院烧烤,IyY174396280,味道一如既往的巴适～全家都超级喜欢！首爱的是五花肉，再就是扇贝和生蚝(特别的新鲜诱人)，脑花儿、鲫鱼、鸡皮、茄子、布丁都是每次必点的菜品；饮品也随便点，特别适合聚会的好选择；这里的阿姨们服务态度也超级好噢。
61505,52,韩婆婆小院烧烤,Rdd746634413,味道还不错，生意十分火爆，服务员态度也很好！！！
61506,53,韩婆婆小院烧烤,彤彤14926,这家烤肉好气人，小吃好好吃，我一来就蒸饺包子玉米馍馍都吃饱了，肉肉还没吃呢
61507,54,韩婆婆小院烧烤,LnK773587880,菜钱比较丰富 没去过的可以去试一下 牛肉不错
61508,55,韩婆婆小院烧烤,匿名用户,差还要15个字无语，70多的东西跟40多的烤肉自助差不多，差不多配张帅哥照片
61509,56,韩婆婆小院烧烤,ybl5878,食材新鲜，味道也不错，是朋友聚餐的好去处，推荐哦！
61510,57,韩婆婆小院烧烤,hhf891106,味道一如既往的好，就是排队时间有点久，亲们可以选择提前网上预订，菜品种类丰富，味道一如既往的好，就是排队时间有点久，亲们可以选择提前网上预订，味道一如既往的好，就是排队时间有点久，亲们可以选择提前网上预订
61511,58,韩婆婆小院烧烤,罗圆志,菜品种类多 味道也是不错 很棒的一次体验
61512,59,韩婆婆小院烧烤,pWV329273596,来过很多次了，品种多又新鲜，去的早停车也方便，场地也大，我觉得比很多商场自助都巴适。
61513,60,韩婆婆小院烧烤,LnK773587880,没去过的  推荐去  菜品丰富
61514,61,韩婆婆小院烧烤,周周婧婧婧,总体还是不错的，不过我们是下午三点来吃的，菜品没有上次多。上次是晚上五点正值晚饭点，吃的就很多 ，这次不是饭点，可以选择的菜品要少一些。
61515,62,韩婆婆小院烧烤,晨晨utcc,不建议夏天去吃，热，肉类菜品还行，其他品种比较少
61516,63,韩婆婆小院烧烤,晨晨utcc,肉类还可以，其他品种比较少，夏天去很热
