,Unnamed: 0,店铺名称,用户名,评论
15494,34,大美蓉城自助火锅烤肉（温江店）,ivi296592116,饭还没吃完，菜就撤的差不多了，本来还想吃个火腿肠，去看，已经被收拾的空空如也，至少还有4-5桌人在吃，都已经撤菜了，水果也没有，从进来有几颗水果到出去也是那几颗，稀饭那些啥都没有，照你们这样，迟早开垮。
15495,35,大美蓉城自助火锅烤肉（温江店）,哎呀我不吃辣,l菜品太少了 其他都还好。                    .m.
15496,36,大美蓉城自助火锅烤肉（温江店）,luJ620914475,菜品太少服务员也少，锅底也不行，
15497,37,大美蓉城自助火锅烤肉（温江店）,wSv411931276,还可以，生意很好，菜品丰富，希望下次能及时补货
15498,38,大美蓉城自助火锅烤肉（温江店）,yke759913905,味道还可以，和朋友去几次了。
15499,39,大美蓉城自助火锅烤肉（温江店）,Orange丼,店面环境好，菜品新鲜，性价比高
15500,40,大美蓉城自助火锅烤肉（温江店）,axK143130429,我服了一个生蚝里面全是沙子 我都不想说了而且菜比较少
15501,41,大美蓉城自助火锅烤肉（温江店）,匿名用户,一般般         味道一般般，菜品一般般都是一般般
15502,42,大美蓉城自助火锅烤肉（温江店）,tnZ484909496,这家店是我吃过最好吃的自助火锅，菜品新鲜，环境也不错，只是现在在新都住了，不然会经常去吃的，特别是他家的毛肚，新鲜有好吃，菜品种类也很多，茶树菇也好吃，真的是良心评价，如果去温江，我一定会去他家吃。。
15503,43,大美蓉城自助火锅烤肉（温江店）,GSh136119372,味道没得说，很好吃，但是有点贵，可以选择火锅而不是自助了
15504,44,大美蓉城自助火锅烤肉（温江店）,匿名用户,明明劵上包含了锅底，但是他又收了我一次锅底费+餐位费，无语
15505,45,大美蓉城自助火锅烤肉（温江店）,未知苦楚,宿舍一起来吃的，感觉还不错，喜欢毛肚
15506,46,大美蓉城自助火锅烤肉（温江店）,dPJ781697139,「#套餐：双人自助」价格越来越贵了，菜品没看出多大变化，也发现更便宜的店了
15507,47,大美蓉城自助火锅烤肉（温江店）,匿名用户,明明网上预约了的 可也排了好久！！
15508,48,大美蓉城自助火锅烤肉（温江店）,QKD937605374,菜品更新不及时，菜品味道一般，下午6点半左右去吃的时候，发现菜品都没什么了，吃了半个小时，菜盘里也没见更新，后来随便吃了点点心就出来了，感觉体验一般
15509,49,大美蓉城自助火锅烤肉（温江店）,匿名用户,怎么说呢，这真的是我这么多年吃的最难吃的火锅。以前也吃过自助，没有这么一言难尽。调料区全是蚊子飞来飞去。。。好多东西吃一口我就吐掉了，太难吃了，我真的不挑食啊，是真的难吃。这钱拿来吃点烧烤不香吗？？！？
15510,50,大美蓉城自助火锅烤肉（温江店）,cDU863720659,菜品分量足，超级好吃，划算，值得一试
15511,51,大美蓉城自助火锅烤肉（温江店）,BGH992336186,一般般，味道还是可以的，不过便宜实惠，还不错可以试试
15512,52,大美蓉城自助火锅烤肉（温江店）,Xpd480108226,此次用餐总体来说不错，觉得比较认可的地方有：性价比高。
