店铺名称,用户名,评论
泥巴小院市井火锅（温江店）,MvZ944551602,今天团了一个套餐「#套餐：2-3 人套餐」 很多菜  都没有吃完  菜品也很新鲜  菜品也丰富  「#鲜血旺」 很好吃  很嫩  都不会煮老  点的红锅 味道还不错  很喜欢  很柔和  「#小院手工黑豆腐」「#鲜猪黄喉」「#小院麻辣牛肉」这些都是我喜欢的  值得信赖推荐！
泥巴小院市井火锅（温江店）,QYy790153816,「#套餐：6-7 人套餐」味道很好👌👌服务很不错 菜品很好吃 下次我们还要来「#奔驰锅」「#手工虾滑」「#鲜血旺」「#鲜鸭肠」「#肥牛卷」「#草原毛肚」「#鲜郡花」「#小院手工黑豆腐」「#小院农家酥肉」「#小院农家滑肉」「#苕粉」「#海带苗」「#小院挂面鸭肠」菜品很新鲜 服务好下次一定会来
泥巴小院市井火锅（温江店）,hq180623,非常满意的一次火锅用餐，六一儿童节带小孩子一起来吃，感觉很棒！ 锅底味道特别喜欢😘不会特别辛辣，非常鲜香！ 服务态度很不错，服务员比较热情❤️点赞👍比较热闹，生意很不错，来吃的人不少 整体性价比算是很不错，推荐，以后会再来。
泥巴小院市井火锅（温江店）,Ldd972064368,"「#套餐：2-3 人套餐」「#奔驰锅」「#手工虾滑」「#鲜血旺」「#鲜鸭肠」「#草原毛肚」「#肥牛卷」「#鲜郡花」「#小院手工黑豆腐」「#小院农家滑肉」「#小院农家酥肉」「#鲜猪黄喉」
【口味】口味很独特   非常喜欢  
【环境】也不错  开了空调很凉快  总体感觉很满意  值得表扬推荐"
泥巴小院市井火锅（温江店）,universe871,「#套餐：2-3 人套餐」「#鲜郡花」「#套餐：2-3 人套餐」「#草原毛肚」「#鲜郡花」「#鲜血旺」「#手工虾滑」已经第五次来这家店吃了，算是常客咯，属实还不错。主要喜欢他家的锅底，一次性的，还是用矿泉水。这点给人感觉就非常棒，干净，卫生，挺舒服。服务这块就更不用说了，热情，主动。点的套餐，很划算，是小份菜，也很实惠，不浪费。吃火锅的首选，值得的消费体验🥳🥳🥳🥳🥳🥳！！！
泥巴小院市井火锅（温江店）,喜乐乐和串串儿,非常开心的一次火锅体验！ 服务非常不错，率先点赞这个👆🏻，服务员都非常热情，很有礼貌，服务意识比较棒！ 用餐环境也是可圈可点，有个外摆区，四周都是绿植，田园风格的感觉，美美哒！ 我们点的红锅，锅底绝对一次性，一次性，一次性哈，重要的事情说三遍！非常卫生，让人用餐感觉特别放心，这一点，反手就是赞 说到味道，我只能是说我非常喜欢，非常合我口味，绝绝子！ 菜品是小份的，时下比较流行，也不会造成浪费，菜品很新鲜，倍棒！ 性价比很高了，推荐！
泥巴小院市井火锅（温江店）,hongbaoshi9659,"「#套餐：2-3 人套餐」「#套餐：2-3 人套餐」「#手工虾滑」「#鲜血旺」「#鲜鸭肠」「#肥牛卷」「#小院手工黑豆腐」「#鲜郡花」「#小院麻辣牛肉」「#小院麻辣牛肉」「#鲜猪黄喉」「#小院红糖糍粑」「#小院红糖糍粑」
【口味】口味还不错  挺好的  服务态度很好  会主动帮我们下菜  值得表扬推荐"
泥巴小院市井火锅（温江店）,IiA905950291,「#套餐：2-3 人套餐」「#手工虾滑」「#鲜血旺」「#鲜鸭肠」「#草原毛肚」「#小院手工黑豆腐」「#小院农家滑肉」「#小院麻辣牛肉」「#小院红糖糍粑」菜品很新鲜  不错  服务也很好  都很热情  排队排了很久  值得了   下次吃火锅还会选择泥巴小院   值得表扬推荐
泥巴小院市井火锅（温江店）,布鲁斯.来如,「#套餐：2-3 人套餐」「#手工虾滑」「#鲜血旺」「#鲜鸭肠」「#肥牛卷」「#草原毛肚」「#鲜郡花」 非常愉快的一次火锅用餐，天气有点热，店里配备冷风机，还是比较凉爽 服务态度挺好的了，服务员都比较细心也很热情，感觉还是挺专业哈 味道比较不错，这个是亮点，不辣不燥特别适合我们的口味 整体性价比是比较好了，在温江能吃到这样市井火锅，还是值得推荐
泥巴小院市井火锅（温江店）,雪雪就是乖,「#套餐：4-5 人套餐」「#奔驰锅」「#鲜血旺」「#鲜鸭肠」「#草原毛肚」「#鲜郡花」「#小院手工黑豆腐」「#小院红糖糍粑」「#耙牛肉」「#雪山珍竹笋」「#爽嫩小心肝」 【口味】慕名而来，很好吃，没有失望，面包是吸油的很洋气。但是我吃了好多哦，带着小朋友吃饭，老板服务员很耐心感谢老板。祝老板生意兴隆！
