店铺名称,用户名,评论
裕昌火锅（德通桥路总店）,瞬间的永恒824,三个人的红锅都是68，很贵，稀饭都两块钱一碗，纸两块钱一盒，用了两张劵都一个人70块，太贵了。反正我是不会去的了。
裕昌火锅（德通桥路总店）,AdL834828904, #嫩牛肉# #鸳鸯锅底# #大盘千层肚# #精品鹅肠# #飞饼# #麻辣牛肉# #红糖糍粑# #极品耗儿鱼# #土豆# #鲜榨果汁# #大盘毛肚# #海带# #银耳汤八宝粥# #耗儿鱼# #蛋酥糍粑# #去骨鸭掌# #山椒牛肉# #玉米汁# #海白菜# #冬瓜#
裕昌火锅（德通桥路总店）,匿名用户,我感觉味道很一般，太燥了。吃了绝对肚子疼
裕昌火锅（德通桥路总店）,callmeStone额,只能说味道不能满意，我吃了肚子绝对痛，很奇怪！
裕昌火锅（德通桥路总店）,匿名用户,感觉没以前好吃，服务员态度也需要改进，短时间不会再去了。
裕昌火锅（德通桥路总店）,匿名用户,可以 我们的生活方式是什么时候开始的
裕昌火锅（德通桥路总店）,yML462926052,菜品新鲜，但份量不是很足，味道还不错 ，比较温和。服务差些了，尽是老年服务员。
裕昌火锅（德通桥路总店）,aZy108020453,味道不如以前，前台服务一如既往差。
裕昌火锅（德通桥路总店）,yhumkqgh,味道还可以，就是菜品偏贵了，以后不会再去了
裕昌火锅（德通桥路总店）,yML462926052,环境不错，服务将就，但是份量不足 ，摆盘稀稀拉拉，味道还真不敢恭维，我们上的金针菇都有点不新鲜了。
裕昌火锅（德通桥路总店）,禅禅9097,这个套餐很划算，一家大小6个人完全够吃了。味道还行。 #麻辣牛肉#
裕昌火锅（德通桥路总店）,Nfa84273542,味道巴适😊😊😊😊
裕昌火锅（德通桥路总店）,Nfa84273542,好
裕昌火锅（德通桥路总店）,匿名用户,抱着很大的期望去的，结果味道却不怎么样，服务态度还可以
裕昌火锅（德通桥路总店）,百那由他,不好吃还贵。其他的没啥说的凑字数的
裕昌火锅（德通桥路总店）,Dxj238623854,有那么久没来过了，感觉菜品品质都下降了，山椒牛肉的肉不是牛肉，黄喉上面还有沙，郡把也没清理干净，忍不住的想吐槽。。。 不好的说了来说说好的~耗儿鱼不错，个头大，一份有六个，蔬菜新鲜，前台接待态度多好，还有他们一个领导，还特意告诉我们店里的一些其它优惠，教我们咋个吃更划算，更没有因为团购而区别对待……服务这块没的说👍 团购套餐4个大人一个小孩，加了几个菜，人均80还是不算贵
裕昌火锅（德通桥路总店）,aLY811830586,还是不错，有点小贵，其它的挺好的
裕昌火锅（德通桥路总店）,tpll2010,味道一般吧，老是觉得锅里有个怪怪的味道
裕昌火锅（德通桥路总店）,bZt708603052,真实评价，味道一般，服务人员的态度还不错，就是买单的时候前台的两位美女，一边吃瓜子，一边摆龙门阵，而且感觉前台坐在哪里收钱的两位美女，态度给人感觉他们是消费者一样，商家出现欺骗行为，第一：明明没有说只能用两张，但是我们只让我们用2张，然后又退了一张，第二：团购也没说要提前几个小时团，消费了过后说要提前几个小时团，！！亲爱的商家，奉劝你们一句，当今这个社会不是一家独大，智媒体时代，如果你们还自以为是，不注重网络营销的话，那怕你们是老牌子，在温江开了很多年了，你们后面会越来越难做的了！
裕昌火锅（德通桥路总店）,UuK336341223,以前觉得不错，所以怀孕后很久没吃火锅又选择了这里，结果这次去失望透顶，香菜没洗干净，还有沙，给服务员说也不以为然，点的藕片也不新鲜，吃起还有种怪味儿，让服务员倒个茶半天不来，四个人酒水都没喝就吃了380，菜品价位与服务和菜品质量完全不匹配，怪不得现在生意越来越差。
裕昌火锅（德通桥路总店）,Cxy3290,还好还好还好还好还好，价格稍微高一些。
裕昌火锅（德通桥路总店）,匿名用户,感觉一般般，吃了肚子不舒服。可能没煮熟。
裕昌火锅（德通桥路总店）,Lsz706982462,环境一般，去的有点晚服务员都在吃根本没人管你，之前看的卷都是可以叠加使用的，结果吃了去结账时说只能用一张……实在无语的不行
裕昌火锅（德通桥路总店）,abby啊丸,三个人吃了三百多 味道真心不觉得好吃 牛肉跟毛肚咬都咬不动 点了份大份的毛肚50多好像 就吃了两片 这完全是给我们训练咬肌啊 我跟我老公都觉得没以前好吃了
裕昌火锅（德通桥路总店）,没有昵称，？,没有以前好吃了，越吃越辣，分量够
裕昌火锅（德通桥路总店）,fOw445272555,不错，服务很好，走时老公忘了包，服务员还忙着跑来提醒，特此感谢。 #竹荪# #飞饼# #精品鹅肠# #嫩牛肉# #美国肥牛#
裕昌火锅（德通桥路总店）,奶茶熊猫99,还可以，味道都差不多，一年会去一到两次
裕昌火锅（德通桥路总店）,tangtang4715,好吃是好吃，就是太贵了，人少吃不划算
裕昌火锅（德通桥路总店）,liuyijie528,吃了几年了，觉得没有以前那么好吃了
裕昌火锅（德通桥路总店）,jing2037,环境不错，就是服务员一直在外面聊天
裕昌火锅（德通桥路总店）,xiaojiazi.,四个人吃了395，感觉味道没以前好吃了！服务还是很好的！
裕昌火锅（德通桥路总店）,匿名用户,生意不好，服务客人时一脸嫌弃，不情愿。
裕昌火锅（德通桥路总店）,fhK986321528,因为你用了美团券 你就不是他们的顾客真的
裕昌火锅（德通桥路总店）,ly541880,不错，环境也好，味道也挺好的。
裕昌火锅（德通桥路总店）,OUD344354669,不好吃了，没门口小龙坎味道好、不麻辣也不香，生意没以前好，服务员妹妹说是一次性锅底的原因，
裕昌火锅（德通桥路总店）,匿名用户,点个极品黄喉，端上来的都没洗干净，要求更换 ，本以为就好了，结果咬都咬不动，无论煮几秒都很老
裕昌火锅（德通桥路总店）,茜茜儿490,服务一般！吃了一身火锅味！名气挺大！所以......
裕昌火锅（德通桥路总店）,匿名用户,肥牛太老了，最难吃的肥牛，味道也不好，还死贵!再也不会来吃了!
裕昌火锅（德通桥路总店）,匿名用户,6个人吃了581，金针菇都坏了，让换一份都不给换。
裕昌火锅（德通桥路总店）,ZPG937503222,现在味道没有以前好了，味道真心不好
裕昌火锅（德通桥路总店）,fanpingping123,味道还是不错的，服务也比较热情，吐槽下其他，第一、当天菜点的有点多，最后我要求打包，这个大个店铺竟然没有打包盒，最后用的塑料袋打包的煮熟的菜品！第二，我到店就问服务员最近有什么优惠没有呢，她告诉我你放心，结账的时候我都会告诉你，结果，结账的时候就一直想喊我办充值卡！最后还是我自己在美团上面看到可以团购优惠券的！
裕昌火锅（德通桥路总店）,匿名用户,味道还行，就是一个字贵，下次应该不会再来了
裕昌火锅（德通桥路总店）,还能孩子多久／／,不错，周末去座位也还多，不用排队
裕昌火锅（德通桥路总店）,永远的念茜,感觉还不错，四个人一个四人套餐，儿子加了个肥牛还没吃完。菜品也很好，不是那些全部是冻品。光顾着吃了，忘记拍照了
裕昌火锅（德通桥路总店）,匿名用户,一般
裕昌火锅（德通桥路总店）,匿名用户,味道很一般，跟第一次去吃，差别很大！不会再来了
裕昌火锅（德通桥路总店）,lxa103111890,在温江这味道还是可以了，第一次来，环境好，服务也好，中午去的，买单时本来只买了一张券的，结果可以用两张，收银还主动提醒我在买一张，收银妹妹态度非常好，下次来温江还去 #美国肥牛# #精品鹅肠# #极品耗儿鱼# #鲜榨果汁# #嫩牛肉# #虾滑# #土豆# #飞饼# #猪黄喉#
裕昌火锅（德通桥路总店）,迷迭香7707,【口味】 【环境】 【服务】 【等位】挺好吃的
裕昌火锅（德通桥路总店）,小猴子han,除了贵点没毛病
裕昌火锅（德通桥路总店）,阡陌1447,比成都的锅底贵，很多菜品都比成都贵，成都火锅经常吃，感觉，这顿火锅等于白吃，火锅味不过过瘾
裕昌火锅（德通桥路总店）,Eno994967692,可以的，大厅环境（主要是气味）一般，通风不太好，推荐包间 ，停车方便 ，位置也比较好找。 #精品鹅肠#
裕昌火锅（德通桥路总店）,gpY986278007,感觉怎么样感觉怎么样啊感觉还可以哦
裕昌火锅（德通桥路总店）,cloverviv,裕昌味道很好，中午人也很少，很满意，就是结账的时候收银员见是用卷的很不高兴，开始只让我们用一张，后来我说美团上写了能用两张才不情不愿的答应。这让人不爽。
裕昌火锅（德通桥路总店）,YQT481899947,味道很好，很喜欢
裕昌火锅（德通桥路总店）,饿饿饿饿73,一般，生意没以前好了、菜品希望新鲜一点
裕昌火锅（德通桥路总店）,xKo532618824,不能吃太辣了，越吃越辣，到最后除了辣还是辣。刚开始味道还可以
裕昌火锅（德通桥路总店）,xKo532618824,点的微微辣，味道还可以。菜品新鲜
裕昌火锅（德通桥路总店）,噢杰克,超级好吃
裕昌火锅（德通桥路总店）,Iey980153009,强推，很赞
裕昌火锅（德通桥路总店）,匿名用户,没什么特别的，很多地方都不要包间费，他们家包间费竟然58块，价格真心贵，6人消费吃了678
裕昌火锅（德通桥路总店）,周启用不了,嫩牛肉超好吃。但是，饮料太坑了，唯怡豆奶一小听要16元，原价大概5、6块的样子，也没有什么提醒，结账的时候吓了一跳。下次点饮料的时候一定要问清楚了。
裕昌火锅（德通桥路总店）,ffJ420527587,味道可以，一直以来都吃的裕昌，老店了，就是西瓜汁太贵48一扎，其他的都还好 #美国肥牛# #虾滑# #嫩牛肉# #老火锅# #鲜榨果汁# #极品耗儿鱼# #虾饺# #千层肚#
裕昌火锅（德通桥路总店）,简单a主义,吃了第二天拉了好多次，奇葩的事纸还要钱，四块一包，贵！
裕昌火锅（德通桥路总店）,匿名用户,菜品新鲜丰富多彩，口味纯正，服务周到，值得回味
裕昌火锅（德通桥路总店）,anlinhe,菜品新鲜丰富，口味纯正，服务热情周到
裕昌火锅（德通桥路总店）,九六年的鼠520,口味一般，而且越吃越辣，还偏贵，锅底68有点贵了吧，最重要的是态度不好👎。
裕昌火锅（德通桥路总店）,lovebbzh,味道还可以，服务也不错，推荐品尝。
裕昌火锅（德通桥路总店）,匿名用户,服务员态度很一般，菜品量少，感觉很一般
裕昌火锅（德通桥路总店）,YK9688,火锅都差不多，但这家明显贵很多，分量也少
裕昌火锅（德通桥路总店）,农夫山泉有点玄,菜品的分量可以增加一点就更好了
裕昌火锅（德通桥路总店）,匿名用户,一个字   贵！  两个字 太贵！  总结 除了贵没有其他感觉了
裕昌火锅（德通桥路总店）,hy147166,还不错，环境好，适合接待请客
裕昌火锅（德通桥路总店）,龙娃子潮流馆,菜品味道很不错哦，好久都没去了，还是那么巴适
裕昌火锅（德通桥路总店）,匿名用户,还行吧。。挺快的。包装也还好。
裕昌火锅（德通桥路总店）,hy147166,环境还不错，是个宴请的好地方，
裕昌火锅（德通桥路总店）,IoO591059715,也就凑个热闹，味道一般，就味道而言真心很贵
裕昌火锅（德通桥路总店）,陈陈羊羊2,很不错的温江火锅
裕昌火锅（德通桥路总店）,匿名用户,没有以前好吃了，环境不好了，进去全是烟
裕昌火锅（德通桥路总店）,Y水墨,味道没以前好了。菜比以前少了，也涨价了，锅底都是68。
裕昌火锅（德通桥路总店）,dLk252365520,价格较贵！
裕昌火锅（德通桥路总店）,Anny0830,除了环境不错其它都不不行、味道差☹️菜品分量少、不推荐、不会来二次
裕昌火锅（德通桥路总店）,paY47557833,味道不错。温江这个地方比例有名的一家
裕昌火锅（德通桥路总店）,xbMM仙贝麻麻,温江火锅最爱，裕昌！！！
裕昌火锅（德通桥路总店）,戏子272,微贵了，味道还不错三个人吃了三百多
裕昌火锅（德通桥路总店）,匿名用户,多次消费了！多次消费了，感觉菜品越来越贵了！
裕昌火锅（德通桥路总店）,XXYY520138,我觉得很一般，味道不如以前好了，包间的拍风效果不好，很烟！而且菜品分量也不多，比较偏贵
裕昌火锅（德通桥路总店）,匿名用户,味道将就，就是上菜速度特别慢。
裕昌火锅（德通桥路总店）,跑溜的包子,没有之前来的时候那么好了，虾滑是切块冻过之后拿上来的，口感非常明显，还是推荐嫩牛肉和麻辣牛肉
裕昌火锅（德通桥路总店）,匿名用户,有点小贵，但是味道还不错，建议多打折
裕昌火锅（德通桥路总店）,冲啦冲鸭,味道很一般，居然还有卖字画的套路，跟重庆的邮轮上的套路居然还一摸一样，笑死我了
裕昌火锅（德通桥路总店）,匿名用户,也就那样吧，本来以为挺好的。。。。。。
裕昌火锅（德通桥路总店）,Du杜兴平,还行，就是太贵了…
裕昌火锅（德通桥路总店）,匿名用户,还不错，环境很好，服务员态度很好
裕昌火锅（德通桥路总店）,herogates,人均103
裕昌火锅（德通桥路总店）,YDl973187648,味道环境都可以，黄辣丁好小个啊，偏贵点
裕昌火锅（德通桥路总店）,小奉150,2个人278有的小贵，哦哦哦哦哦哦
裕昌火锅（德通桥路总店）,chq728011751,味道感觉都差不多，菜品很新鲜，小吃也挺好吃的
裕昌火锅（德通桥路总店）,匿名用户,四个人才点多了点儿，剩了点儿素菜，居然吃了558，拿着棒子在敲啊。太贵了，没有下次了。
裕昌火锅（德通桥路总店）,silentsnow890111,又贵又难吃，油碟竟然18块一个？你这是金子做的油碟哇。。老板好能干。。。
裕昌火锅（德通桥路总店）,天秤座的过客,整体来说还算可以。
裕昌火锅（德通桥路总店）,nUj928939068,味道不错，服务也挺好...还有川剧变脸表演...如果很多次了...
裕昌火锅（德通桥路总店）,puk78348465,菜品贵。环境一般！停车也还方便！！！！！！
裕昌火锅（德通桥路总店）,mrsmalik2827,味道很一般，偏贵了，性价比低，温江有其他更好的火锅可以选择
裕昌火锅（德通桥路总店）,姜楠241,菜品味道还不错，价格有点贵
裕昌火锅（德通桥路总店）,小胖子和小屁屁,味道还行，服务还行，人蛮多的，上菜比较快，看菜品还不错，蛮有食欲的，3个人点了10份菜，刚刚好😊，红汤锅底58元，可以打包带走还不错。
裕昌火锅（德通桥路总店）,雪映寒梅88,服务很好，环境吧，建议可以提升一下了，整体消费下来，感觉有点贵
裕昌火锅（德通桥路总店）,我的大宝是超人,服务相当的差，再也不是以前那个吃火锅就会第一个想到得地方了
裕昌火锅（德通桥路总店）,匿名用户,口味一般，没什么特别的，人少去真心不划算，因为锅底要六七十吧
裕昌火锅（德通桥路总店）,GzP416863677,味道可以，环境不错，一直都吃的这家，就是活动太少了
裕昌火锅（德通桥路总店）,妍宝贝516,很久没吃过了，感觉没以前味道好了
裕昌火锅（德通桥路总店）,Day652446466,可以
裕昌火锅（德通桥路总店）,蒋丽加油,味道倒是一如既往的好，就是服务有待提高，服务态度差
裕昌火锅（德通桥路总店）,匿名用户,味道不错，经常来吃
裕昌火锅（德通桥路总店）,X旧时甚歉,味道一般，但是服务态度很好。
裕昌火锅（德通桥路总店）,匿名用户,服务态度很不好！！我们这边熄火了 叫她们来开下火 那个女服务员说了一句 好烦  而且肥牛黄喉 毛肚 都超老的  并不是我们煮很久  不推荐 很油  调料又少  再也不会去吃了
裕昌火锅（德通桥路总店）,安静安心805,四个人吃了三百多，菜品比较新鲜，服务也挺好，就是菜量不多，价格贵。
裕昌火锅（德通桥路总店）,给你一个眼神8,没有传说中的那么好吃，但确实有点贵
裕昌火锅（德通桥路总店）,钢钢锅锅,味道就那样，生意却那么好，跟风来的
裕昌火锅（德通桥路总店）,匿名用户,菜品没有以前的分量足了，人均消费越来越高了。5个大人 1个娃娃，没有酒，就一瓶饮料。人均都快100了！
裕昌火锅（德通桥路总店）,hut778566166,没有钱几年味道好，品质得好好恢复一下。
裕昌火锅（德通桥路总店）,HHS941846323,电话订位没有包间了，安排在大堂，位置却在儿童玩耍区，一直闹麻了，，娃娃些丢东西都差点甩到我们锅里面！全程不见服务员管管，，东西小贵就算了，完全感觉自己吃的是自助餐！点的鲜榨西瓜汁48感觉还当不到一般的水吧的味道好！味道也一般，没有以前的好吃！
裕昌火锅（德通桥路总店）,svM761292422,味道满意，菜的分量很少。环境一般吧。
裕昌火锅（德通桥路总店）,匿名用户,开始的红糖糍粑 糍粑上面有一个蚊蚊 让换一盘 结果服务员只是把蚊蚊糍粑上夹出来 端出来还是刚才那个沾了酱的糍粑 后面的鸭肠才准备烫 就发现根本没有洗干净 这次为了避免出现刚才的情况就先拍照了 又让换 结果端来还是一样 服务员直接冷淡回应我们这鸭肠都这样
裕昌火锅（德通桥路总店）,ferferdeai,人均消费160左右了，味道真的很一般
裕昌火锅（德通桥路总店）,日曜寒霜,还不错，就是火锅的味道
裕昌火锅（德通桥路总店）,匿名用户,巨难吃！越来越难吃！恶心的味道！火锅味都没的
裕昌火锅（德通桥路总店）,小樱樱呀,裕昌越做越差了，点的小吃端上来就是冷的，感觉像是提前油炸好了放很久的，叫热一下，端走了又原封不动端回来还是冷的。6个人800多，以后还是多去别家算了
裕昌火锅（德通桥路总店）,XAe440799663,菜品新鲜，服务好，味道一直都没变，下次首选
裕昌火锅（德通桥路总店）,匿名用户,服务态度简直瞥得莫法 懒洋洋的 整个过程全靠自己服务自己 一点积极性也没得 到结账那儿也是马起个脸 服务体验太差了 味道一般
裕昌火锅（德通桥路总店）,yXY660639167,分量不是足，晚上去的，可能是打烊了没空调，热得很又没空调
裕昌火锅（德通桥路总店）,Judy8047,温江最好吃的火锅了！名气又大
裕昌火锅（德通桥路总店）,leilei37266,好吃，一直喜欢在该店吃火锅
裕昌火锅（德通桥路总店）,QEi563508437,好
裕昌火锅（德通桥路总店）,Ohf478197313,味道确实非常一般，这一块商家应该大力改进服务还不错，但是感觉服务员比较混乱，没有条理，菜品上来说比较丰富，分量适当，不多也不少，价格的话这个味道完全不值这个价格，价格偏贵。卫生方面做的不太好，用了的纸巾服务员叫扔地上，无垃圾桶。这边提供的纸巾是要收费的。良心评价，希望商家改进。
裕昌火锅（德通桥路总店）,hujianping119,都吃了好久了，味道不错
裕昌火锅（德通桥路总店）,小猴子han,离家近，味道好！
裕昌火锅（德通桥路总店）,cdd404527221,知名的火锅店，大家都知道的，干净卫生也有自己的特色！
裕昌火锅（德通桥路总店）,西瓜妹纸＊,价格稍微有点偏贵了 味道还是不错的
裕昌火锅（德通桥路总店）,OoA271670816,有点小贵 味道还不赖
裕昌火锅（德通桥路总店）,KPx217330768,菜品味道好，份量比较可以，上菜速度不错！
裕昌火锅（德通桥路总店）,ZcT58307540,服务态度不好，菜品份量少，价格贵
裕昌火锅（德通桥路总店）,som408085979,太辣了！辣的头痛
裕昌火锅（德通桥路总店）,lzgq66,味道没有蜀大侠的好吃，贵，服务员叫几次都和没有听见一样，服务水平有待提高！
裕昌火锅（德通桥路总店）,UgB116997033,味道不好吃 菜品不新鲜 服务不专业
裕昌火锅（德通桥路总店）,车马相士将炮兵,菜品稍贵，味道很好，环境稍微有点拥挤
裕昌火锅（德通桥路总店）,Lzb558751389,环境好……菜品干净卫生……下次还会再来
裕昌火锅（德通桥路总店）,Bai182772671,一？你说了句你好你也快来试试吧
裕昌火锅（德通桥路总店）,桔梗下的夏天,味道挺不错的，分量也足，就是略贵
裕昌火锅（德通桥路总店）,嘻嘻6343,难吃，不晓得为啥生意还那么好。
裕昌火锅（德通桥路总店）,W512583077,不错，尤其是血块，非常好
裕昌火锅（德通桥路总店）,松松妈妈88,还行吧，感觉还是没有出众的味道
裕昌火锅（德通桥路总店）,匿名用户,味道巴士，服务很好，菜品不错，就是小贵了点
裕昌火锅（德通桥路总店）,mEQ812818955,可以
裕昌火锅（德通桥路总店）,跑溜的包子,牛肉特别棒
裕昌火锅（德通桥路总店）,kmD329396038,环境确实好 请客有档次 价格确实略贵，味道清油的 个人喜好牛油 所以感觉味道一般。怀疑加了止泻药什么的 几个人都肚子光痛 但拉不出来 。
裕昌火锅（德通桥路总店）,拜无忧666,前台收银员 态度太恶劣了 要么就别出团购 出了团购又不欢迎
裕昌火锅（德通桥路总店）,LF東,味道很一般，而且还贵，很不划算
裕昌火锅（德通桥路总店）,今天中午吃鱼哈,好评。
裕昌火锅（德通桥路总店）,东哥哥大大哥,菜品新鲜，味道不错！
裕昌火锅（德通桥路总店）,羊杨阳先生,味道一般，但菜品看着还新鲜，服务员态度还有待提高。
裕昌火锅（德通桥路总店）,HgV815607596,份量太少
裕昌火锅（德通桥路总店）,一人一半100,小贵
裕昌火锅（德通桥路总店）,DCQ680759696,包间服务业服务很到位
裕昌火锅（德通桥路总店）,匿名用户,菜品偏贵
裕昌火锅（德通桥路总店）,大腿引怪,还行，老字号了，带朋友来吃，不知道为什么吃到后面有点发苦
裕昌火锅（德通桥路总店）,匿名用户,已经越做越差了，菜品分量少，价格在温江这算高了，味道非常一般，没有香味，要不然招待客人请客是不会去这吃的。
裕昌火锅（德通桥路总店）,我喜欢番茄_asc,老顾客了，经常来。
裕昌火锅（德通桥路总店）,ykE393514174,味道很好，就是那天去的时候人太多咯，服务不是很好，喊了半天的蛋炒饭，都要吃完咯饭才来，而且菜单上点咯的菜，没有给我们上还说给我们上咯，可能人太多咯吧
裕昌火锅（德通桥路总店）,EjT804628607,味道不如以前了，确实也越来越贵了，卓鼎还不错的
裕昌火锅（德通桥路总店）,匿名用户,不错，多次去
裕昌火锅（德通桥路总店）,礼智仁义信5,味道不错
裕昌火锅（德通桥路总店）,woW203678811,味道环境都是没说的，温江口碑一直不错。就是有点小贵。4人吃了469，只省了30多，不到40。
裕昌火锅（德通桥路总店）,XQV932822106,生意超级好，包间收了58元，整体人均80-100但是菜品价格跟服务不符，有待加强 #飞饼# #香豆腐# #美国肥牛# #嫩牛肉#
裕昌火锅（德通桥路总店）,ZsM275832428,相当凑合
裕昌火锅（德通桥路总店）,zWt296772599,味道不错，是我喜欢的味，菜品新鲜，环境好！
裕昌火锅（德通桥路总店）,静默如石,味道还不错，一直的味道
裕昌火锅（德通桥路总店）,JFu240111287,清油火锅，失去了串味的麻辣香，失望
裕昌火锅（德通桥路总店）,yetongru,好 吃，就是价格略贵
裕昌火锅（德通桥路总店）,hnD944648441,好评
