,Unnamed: 0,店铺名称,用户名,评论
20,20,芭夯兔（温江店）,zgT386296215,此次用餐总体来说不错，觉得比较认可的地方有：性价比。
21,21,芭夯兔（温江店）,drB595102841,两个人去吃，真的吃到饱，汤鲜，推荐一定要喝汤，去的时候人不多，服务热情，吃到一半就坐到差不多的人了，推荐带小孩和老人来吃，口味清淡嫩滑，拍图的时候已经吃的差不多了，团的两人餐真的够吃，鸭脑壳也很入味，总之这个价位很不错，
22,22,芭夯兔（温江店）,想菜单好难,「#套餐：温馨尝鲜双人餐」「#菌汤兔肉锅」「#情侣锅」「#红糖糍粑」「#花生汁」「#麻辣鸭头」味道很好，汤超级棒，真的好喝(*?′╰╯`?)?，就是人特别多，排了好久的队，但是真的真的很不错，和朋友们吃的很开心(*?′╰╯`?)?
23,23,芭夯兔（温江店）,匿名用户,一家人来吃的，老人也爱吃。很不错
24,24,芭夯兔（温江店）,RIS733590845,初到温江，从美团上找到这家店，看了评论来的。第一次吃这种清汤兔，鲜嫩爽口；麻辣鸭头又酥又香，还有配菜和红糖糍粑，花生豆奶……二人撑到爆也吃不完，只好打包带走。店里整洁舒适，服务员态度很好，是朋友家人聚会的好地方。还会再来的。「#套餐：温馨尝鲜双人餐」
25,25,芭夯兔（温江店）,YpO277056158,有点上当感觉，根本不是排骨而是背脊骨一份。
26,26,芭夯兔（温江店）,vzh113591491,一直都很好吃??套餐很实惠，锅里满满的全是兔肉，汤也超级鲜，还配了香菜丸子、凤尾、冬瓜、鸭头、红糖糍粑、饮料，味道都很好的。服务也很好，店里的嬢嬢都好热情，还帮忙下菜。餐厅环境也不错，上菜也很快。
27,27,芭夯兔（温江店）,勤快的树懒,这一套下来活动78太值了，以前来吃的时候还没团购，起码四个人200多。这活动最多花100左右
28,28,芭夯兔（温江店）,dPJ781697139,「#套餐：温馨尝鲜双人餐」「#菌汤兔肉锅」「#情侣锅」「#麻辣兔头」「#花生汁」「#红糖糍粑」「#青椒酱」「#香辣鸭头」上面点到的，都吃过了比较好吃，推荐带老人小孩来一起吃。服务比较好，老板人不错。如果美团团购可以换菜或者后台定期换菜就好了
29,29,芭夯兔（温江店）,匿名用户,套餐分量足，菜品新鲜，鸭头麻辣，兔肉嫩滑，味道好，服务态度也特别好，什么都放着她来，很热情
30,30,芭夯兔（温江店）,MNt496824534,能说什么，昨天吃完，今天三个人集体拉肚子  味道也一般就算了  吃了拉肚子是真牛  而且是肚子一天不舒服 三个同时
31,31,芭夯兔（温江店）,魔法少男黎昕,「#套餐：温馨尝鲜双人餐」性价比蛮高的
32,32,芭夯兔（温江店）,NnL399780726,父母不是很喜欢吃辣的，所以常去吃白味的巴夯兔。价格实惠，味道还不错
33,33,芭夯兔（温江店）,魔法少男黎昕,「#套餐：温馨尝鲜双人餐」小时候的味道
34,34,芭夯兔（温江店）,yML462926052,这次就餐整体感觉很赞，比较满意的方面有：团购接待。近年来很乐意在这儿消费，服务态度很好，对待团购没有一丝马虎，干净整洁，环境很舒服，特别适合老少消费，口味清淡，觉得超赞，还会继续光顾消费，祝生意兴隆。
35,35,芭夯兔（温江店）,XhV260739519,味道可以，吃饭的人很多，早点来不排队
36,36,芭夯兔（温江店）,Qiujiejie517,记不清是第几次来吃了，还是一如既往的好吃，天热了就适合吃清淡一点的，，香辣鸭头也好吃
37,37,芭夯兔（温江店）,奶思666666,好吃
38,38,芭夯兔（温江店）,bvv187285201,环境很好，服务很热情，菜品也很好，是汤锅，非常适合家庭聚餐，这个套餐性价比也很高
39,39,芭夯兔（温江店）,g35096764,此次用餐总体来说不错，觉得比较认可的地方有：口味、环境。
